Term,Standard Definition,Simple Definition,Funny Definition
Partial Release Clause,A clause in a mortgage that allows for the release of a part of the property from the mortgage once certain conditions are met.,Part of the property can be released from the mortgage if conditions are met.,The partial property release deal.
Participatory Component,The involvement of participants in decision-making processes.,Getting everyone involved in decisions.,The decision-making squad.
Percentage Lease,A lease where the rent is based on a percentage of the tenant's sales.,Rent based on a percentage of sales.,The sales-based rent deal.
Periodic Tenancy,A lease that continues for successive periods until terminated by either party.,A lease that renews automatically until ended by either party.,The auto-renew lease.
Personal Property,Movable items not permanently attached to real property.,Things that can be moved and are not fixed to property.,The movable goodies.
Physical Deterioration,A reduction in property value due to wear and tear or age.,Value loss from wear and tear.,The wear-and-tear toll.
Planned Unit Development (PUD),"A planned community that combines various land uses, such as residential, commercial, and recreational.","A community with homes, shops, and parks planned together.",The mix-use planned paradise.
Plottage,The increase in property value due to the combination of multiple parcels into one.,Value increase by merging properties.,The property merge bonus.
Police Power,The authority of government to regulate private property for the public welfare.,Government’s right to regulate property for public good.,The government's property rule book.
Portfolio Loan,"A loan held by a lender in its own portfolio, rather than sold on the secondary market.",A loan the lender keeps rather than sells.,The kept-in-house loan.
Pre-Qualification,An initial evaluation of a potential borrower’s ability to qualify for a loan.,Initial check if you can get a loan.,The loan pre-check.
Prepayment Clause,A clause in a loan agreement allowing the borrower to pay off the loan early.,Paying off a loan early.,The early payoff pass.
Prepayment Penalty,A fee charged for paying off a loan early.,Fee for paying off a loan early.,The early exit fee.
Primary Mortgage Market,The market in which lenders originate loans and make funds available to borrowers.,Where banks lend money for mortgages.,The bank’s money shop.
Principle of Contribution,A principle stating that the value of a part of a property is determined by its contribution to the total value of the whole property.,A part’s value is based on its contribution to the whole.,The part’s worth in the whole deal.
Principle of Highest and Best Use,The use of a property that is most likely to produce the greatest net return over a given period.,Best use of property to get the highest return.,The property’s profit-max plan.
Principle of Progression,A principle stating that the value of a lesser property is increased by its proximity to better properties.,A lesser property gains value from better neighbors.,The fixer-upper gets a boost from the mansion next door.
Principle of Regression,A principle stating that the value of a better property is decreased by its proximity to lesser properties.,A better property loses value from lesser neighbors.,The mansion takes a hit from the fixer-upper next door.
Private Mortgage Insurance (PMI),Insurance provided by a private company to protect the lender against loss if a borrower defaults.,Insurance to protect lenders if a borrower defaults.,The lender’s safety net.
Probate Sale,The sale of a deceased person's property to pay debts and distribute assets to heirs.,Selling a deceased person's property to pay debts.,The estate sale to settle debts.
Promissory Note,A written promise to pay a specified amount of money at a specified time.,A written promise to repay a loan.,The loan IOU.
Property as Collateral,Using property to secure a loan.,Using property to back a loan.,The property-backed loan.
Property Tax,A tax levied on real estate by the local government.,Tax on real estate by the local government.,The house tax.
Puffing,Exaggerated or superlative comments or opinions.,Exaggerated statements.,The over-the-top praise.
Purchase Money Mortgage (PMM),A mortgage issued to the buyer by the seller of a home as part of the purchase transaction.,Seller financing the buyer as part of the sale.,The seller’s mortgage gift.
Quiet Title Action,A lawsuit brought to remove a cloud on the title of real property.,Lawsuit to clear property title issues.,The title-clearing lawsuit.
Quitclaim Deed,"A deed that conveys all of the grantor's interest in the property, with no warranties of title.",A deed transferring ownership without title guarantees.,The ‘no promises’ deed.
Real Property,Land and anything attached to it.,Land and things attached to it.,The land and its buddies.
Real Estate Settlement Procedures Act (RESPA),A federal law requiring lenders to provide borrowers with information on closing costs.,Law requiring disclosure of closing costs.,The closing cost tell-all law.
Reconciliation,The process of combining various estimates and data to reach a final value estimate.,Combining data to estimate property value.,The value-guess combo.
Reconveyance Deed,A document issued by a trustee reconveying title to the trustor when a debt secured by a deed of trust is paid off.,Document giving back title to the borrower when a debt is paid.,The debt-free title return.
Reduction Certificate,A statement issued by a lender detailing the remaining amount due on a loan.,Statement of remaining loan balance.,The loan balance update.
Release Clause,A clause in a contract allowing a portion of the property to be released from the contract under certain conditions.,Clause allowing part of the property to be released.,The partial property escape clause.
Reliction,"The gradual recession of water, leading to an increase in land.","Water recedes, land increases.",The water’s retreat land gain.
Rent Roll,A list of tenants and the amount of rent they pay.,List of tenants and their rent payments.,The tenant rent roster.
Request for Notice of Default,A notice filed to request notification of any default on a loan.,Request for notice of any loan default.,The default alert request.
Riparian Rights,Rights of landowners whose property is adjacent to a river or stream.,Rights of land next to rivers or streams.,The riverbank land rights.
Sale Leaseback,A transaction where the seller sells a property and then leases it back from the buyer.,Sell property and lease it back.,The sell-and-rent-back move.
Sandwich Lease,A lease where the original tenant subleases the property to a third party.,Tenant subleases to another tenant.,The tenant’s tenant deal.
Section,"A unit of land measurement used in the government survey system, typically one square mile.","Land unit, one square mile.",The land square mile.
Servient Tenement,The property that is burdened by an easement.,Property burdened by an easement.,The easement-burdened property.
Sherman Anti-Trust Act,A landmark federal statute on competition law that prohibits monopolies and activities that restrain trade.,Law against monopolies and trade restraints.,The monopoly-buster law.
Short Rate,A rate charged for insurance that is for a period shorter than the usual term.,Insurance rate for less than the usual term.,The short-term insurance rate.
Special Agent,An agent with limited authority to act on behalf of the principal for a specific transaction.,An agent with authority for a specific deal.,The limited-power dealmaker.
Special Warranty Deed,A deed in which the grantor warrants the title only against defects arising during the period of their ownership.,A deed that covers only the time the grantor owned the property.,The ‘while I owned it’ warranty deed.
Specific Lien,A lien that is attached to a specific property.,A lien attached to a particular property.,The property-specific claim.
Specific Performance,A legal remedy in which a court orders the parties to perform the contract as agreed.,Court order to perform a contract as agreed.,The ‘do what you promised’ court order.
Standard Policy of Title Insurance,A title insurance policy that covers only risks that are recorded in public records.,Title insurance covering public record risks.,The basic title insurance.
Statute of Frauds,A law requiring certain contracts to be in writing to be enforceable.,Law requiring some contracts to be written.,The ‘put it in writing’ law.
Statute of Limitations,A law that sets the maximum time period within which legal proceedings can be initiated.,Law limiting time to start legal proceedings.,The time-limit law for lawsuits.
Steering,The illegal practice of guiding prospective homeowners towards or away from certain neighborhoods based on race or ethnicity.,Illegally guiding buyers based on race.,The racial steering no-no.
Straight-line Method,A method of calculating depreciation by dividing the asset’s cost by the number of years in its useful life.,Depreciation by dividing cost by useful life.,The depreciation divide-by-years trick.
Subleases,A lease agreement in which the lessee rents out the property to another party.,A lease where the tenant rents to another.,The tenant’s tenant deal.
Subject To,A clause in a mortgage allowing the transfer of property with the mortgage staying in place.,Transfer property with mortgage still in place.,The stay-with-it mortgage transfer.
Subordination Clause,A clause in a mortgage that allows a future mortgage to take priority over an existing mortgage.,Future mortgage can take priority.,The future-first mortgage clause.
Surrender,The return of property to the owner or lessor at the end of a lease term.,Returning property to the owner at lease end.,The lease-end return.
Tax Shelter,A legal method of minimizing or decreasing an investor's taxable income.,Reducing taxable income legally.,The tax-cutting loophole.
Taxation,The process by which a government or municipal quasi-governmental body raises revenues to fund its operations.,Government raising money through taxes.,The government’s money-raising act.
Tenancy in Common,A form of co-ownership where each owner has an undivided interest in the property.,Co-ownership with undivided interest.,The shared ownership deal.
Tenant Improvement Allowance,A landlord’s allowance for the tenant to customize or improve the leased property.,Allowance for tenant improvements.,The tenant’s fix-it fund.
Testate,Dying with a legal will.,Dying with a will.,The willful departure.
Title,The legal right to ownership of property.,Legal ownership right of property.,The ownership badge.
Title Insurance,Insurance that protects against loss from defects in title to real property.,Insurance against title defects.,The title defect shield.
Title Report,A report that discloses the condition of the title and any encumbrances affecting the property.,Title condition and encumbrances report.,The title’s health check.
Trust Deed,A deed that transfers property to a trustee as security for a loan.,Deed transferring property to trustee as loan security.,The trustee’s holding deed.
Trustor,A borrower in a trust deed loan transaction.,The borrower in a trust deed.,The trust deed borrower.
Truth in Lending Act (TILA),A federal law designed to promote the informed use of consumer credit by requiring disclosures about its terms and cost.,Law requiring credit terms disclosure.,The credit terms spotlight.
Unadjusted Cost Basis,The original cost of property without adjustments for factors such as depreciation.,Original property cost without adjustments.,The starting price.
Unenforceable Contract,A contract that cannot be enforced in a court of law.,A non-enforceable contract.,The no-court contract.
Unilateral Contract,A contract in which only one party makes a promise.,One-sided promise contract.,The one-sided promise.
Void Contract,A contract that has no legal force or effect.,No legal effect contract.,The nothing contract.
Voidable Contract,A contract that can be annulled by one of the parties.,Contract that can be voided by one party.,The one-sided exit option.
Voluntary Lien,A lien that the property owner agrees to place on the property.,Agreed-upon lien by property owner.,The owner-approved lien.
Writ of Execution,A court order authorizing the enforcement of a judgment.,Court order to enforce judgment.,The judgment enforcer.
Zoning,Laws that regulate the use of land and structures built upon it.,Land use regulation laws.,The land rules.
